rank,word,frequency
1101,enjoy,1330
1102,utterly,1330
1103,responded,1326
1104,countenance,1324
1105,bought,1323
1106,feared,1323
1107,plenty,1323
1108,southern,1322
1109,laughter,1321
1110,odd,1321
1111,picked,1320
1112,attitude,1319
1113,claim,1319
1114,brow,1318
1115,bay,1315
1116,express,1315
1117,handed,1315
1118,devil,1314
1119,clean,1312
1120,favor,1312
1121,harm,1312
1122,mysterious,1311
1123,wondering,1310
1124,knife,1307
1125,main,1303
1126,prisoner,1303
1127,blame,1302
1128,mystery,1302
1129,uttered,1302
1130,rolled,1300
1131,bottom,1298
1132,system,1298
1133,aid,1296
1134,circle,1296
1135,friendly,1295
1136,quarter,1295
1137,spirits,1295
1138,loving,1294
1139,season,1293
1140,directly,1292
1141,hit,1292
1142,pipe,1291
1143,flushed,1289
1144,stern,1289
1145,bearing,1287
1146,cloud,1287
1147,deck,1284
1148,minister,1281
1149,mass,1280
1150,waters,1280
1151,win,1280
1152,impulse,1277
1153,spend,1277
1154,bernard,1276
1155,ideas,1276
1156,clouds,1275
1157,nose,1275
1158,passage,1275
1159,cup,1274
1160,gravely,1273
1161,occupied,1273
1162,suit,1271
1163,dim,1267
1164,wound,1267
1165,kin,1265
1166,buried,1264
1167,noise,1264
1168,served,1263
1169,finger,1261
1170,sunshine,1260
1171,shop,1257
1172,dance,1256
1173,huge,1256
1174,queer,1256
1175,lights,1255
1176,rushed,1255
1177,refused,1254
1178,bow,1253
1179,imagination,1253
1180,equal,1251
1181,mamma,1251
1182,mental,1251
1183,ice,1249
1184,lamp,1249
1185,desk,1248
1186,emotion,1247
1187,suffer,1246
1188,horror,1244
1189,key,1244
1190,moral,1244
1191,nodded,1244
1192,gay,1243
1193,cost,1242
1194,mercy,1240
1195,entrance,1239
1196,formed,1239
1197,content,1238
1198,language,1238
1199,saddle,1238
1200,slipped,1237
1201,stretched,1237
1202,FALSE,1236
1203,unknown,1235
1204,special,1232
1205,den,1231
1206,foolish,1231
1207,william,1231
1208,playing,1229
1209,desperate,1226
1210,ashamed,1225
1211,dangerous,1223
1212,approached,1222
1213,entire,1222
1214,sighed,1222
1215,despair,1220
1216,prayer,1220
1217,united,1220
1218,admitted,1219
1219,won,1218
1220,terms,1217
1221,beg,1216
1222,household,1216
1223,sell,1216
1224,heat,1215
1225,nothin,1214
1226,interview,1212
1227,join,1211
1228,birds,1210
1229,midst,1210
1230,driven,1209
1231,stock,1208
1232,tis,1208
1233,hopes,1206
1234,miserable,1205
1235,price,1205
1236,ease,1203
1237,mood,1201
1238,rush,1199
1239,careful,1198
1240,returning,1198
1241,suspicion,1198
1242,murder,1195
1243,alessandro,1194
1244,gazing,1194
1245,blind,1192
1246,worthy,1191
1247,weight,1190
1248,queen,1189
1249,regret,1189
1250,arose,1186
1251,david,1186
1252,suggestion,1186
1253,advice,1182
1254,explanation,1180
1255,flower,1180
1256,gesture,1180
1257,sacrifice,1179
1258,riding,1177
1259,bridge,1176
1260,dorothy,1176
1261,regular,1176
1262,frank,1175
1263,sharply,1175
1264,hide,1174
1265,plans,1174
1266,silk,1174
1267,afterward,1170
1268,assured,1167
1269,loose,1167
1270,elder,1166
1271,robert,1166
1272,eyed,1165
1273,hurry,1165
1274,upper,1164
1275,liberty,1163
1276,realized,1163
1277,shade,1163
1278,christian,1162
1279,choose,1161
1280,freedom,1161
1281,bringing,1160
1282,mark,1160
1283,motion,1160
1284,sand,1160
1285,singing,1160
1286,stories,1159
1287,taught,1159
1288,colored,1158
1289,escaped,1156
1290,importance,1156
1291,flat,1155
1292,smooth,1154
1293,proceeded,1152
1294,dis,1151
1295,german,1151
1296,sooner,1151
1297,sacred,1150
1298,solemn,1150
1299,succeeded,1148
1300,delightful,1145
1301,ordinary,1145
1302,completely,1144
1303,mile,1144
1304,precious,1144
1305,richard,1143
1306,guests,1142
1307,wet,1141
1308,couple,1140
1309,lawyer,1140
1310,library,1140
1311,slept,1139
1312,admit,1138
1313,mentioned,1138
1314,aloud,1137
1315,seek,1136
1316,glory,1134
1317,president,1131
1318,carrying,1130
1319,madam,1130
1320,previous,1129
1321,helpless,1128
1322,desired,1127
1323,trembled,1126
1324,unconscious,1126
1325,amount,1125
1326,mention,1125
1327,fever,1124
1328,rome,1123
1329,silently,1123
1330,witness,1123
1331,dreams,1122
1332,resolved,1120
1333,weakness,1120
1334,accustomed,1117
1335,negro,1117
1336,degree,1116
1337,josiah,1116
1338,removed,1115
1339,rowland,1113
1340,concerned,1112
1341,bless,1110
1342,grey,1110
1343,dared,1109
1344,powerful,1109
1345,breaking,1108
1346,sounds,1108
1347,sufficient,1107
1348,europe,1106
1349,grateful,1106
1350,reasons,1104
1351,visitor,1104
1352,hungry,1103
1353,hanging,1102
1354,treated,1102
1355,prevent,1101
1356,bible,1100
1357,fierce,1100
1358,message,1098
1359,shone,1098
1360,mounted,1094
1361,burned,1093
1362,enjoyed,1093
1363,relations,1093
1364,arrival,1092
1365,centre,1092
1366,steady,1092
1367,twelve,1091
1368,visible,1091
1369,efforts,1089
1370,friendship,1088
1371,hearted,1088
1372,ancient,1086
1373,partly,1086
1374,departure,1085
1375,band,1084
1376,british,1084
1377,loves,1084
1378,bartley,1083
1379,equally,1083
1380,nurse,1082
1381,attack,1081
1382,winthrop,1081
1383,pieces,1080
1384,religion,1080
1385,final,1078
1386,lightly,1076
1387,occasionally,1076
1388,intention,1073
1389,judgment,1073
1390,thar,1073
1391,pictures,1072
1392,resumed,1072
1393,cornelia,1070
1394,delighted,1069
1395,doubtless,1069
1396,rear,1067
1397,shake,1064
1398,shock,1064
1399,wishes,1063
1400,cover,1062
1401,rare,1062
1402,flung,1061
1403,realize,1061
1404,task,1060
1405,yo,1060
1406,flashed,1059
1407,lawrence,1059
1408,guest,1057
1409,figures,1056
1410,midnight,1056
1411,shape,1056
1412,capable,1055
1413,plainly,1055
1414,trial,1055
1415,luck,1054
1416,produced,1053
1417,france,1052
1418,page,1051
1419,shoes,1051
1420,detective,1050
1421,frame,1050
1422,necessity,1049
1423,whisper,1049
1424,pa,1047
1425,palace,1047
1426,support,1047
1427,arranged,1046
1428,wid,1046
1429,college,1045
1430,surface,1045
1431,extraordinary,1044
1432,sin,1044
1433,faded,1043
1434,required,1043
1435,ramona,1042
1436,advanced,1041
1437,rocks,1041
1438,mistaken,1038
1439,advance,1037
1440,charm,1036
1441,instinct,1036
1442,polly,1036
1443,staring,1036
1444,fighting,1035
1445,im,1035
1446,report,1035
1447,generous,1034
1448,henry,1034
1449,level,1034
1450,guns,1032
1451,sleeping,1032
1452,sounded,1031
1453,double,1030
1454,flash,1030
1455,lieutenant,1030
1456,safety,1030
1457,announced,1029
1458,choice,1029
1459,confess,1029
1460,spare,1029
1461,appeal,1028
1462,heavily,1028
1463,pine,1028
1464,stick,1028
1465,warning,1028
1466,ocean,1027
1467,clever,1026
1468,flying,1025
1469,fence,1024
1470,guilty,1024
1471,period,1024
1472,flight,1023
1473,proof,1022
1474,rang,1022
1475,strangely,1022
1476,fun,1021
1477,shaking,1021
1478,clay,1020
1479,stirred,1020
1480,atmosphere,1019
1481,chicago,1019
1482,conditions,1019
1483,monsieur,1019
1484,flesh,1018
1485,faithful,1015
1486,fought,1015
1487,dining,1014
1488,meal,1013
1489,minds,1012
1490,rule,1012
1491,serve,1009
1492,ben,1008
1493,conduct,1008
